method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.656907;0.620663;0.620738;0.67945;0.689488;0.684354;0.643827;0.649742;0.638074
LRWithRandomPCA;0.667898;0.641228;0.647464;0.711989;0.713942;0.712832;0.692649;0.678559;0.672725
LRWithPCA;0.616373;0.592179;0.595573;0.695346;0.697107;0.696185;0.669391;0.659438;0.653153
LR;0.632094;0.604021;0.608375;0.702099;0.702222;0.702154;0.682462;0.668802;0.66739
CCABasedClassifier;0.663833;0.620413;0.622077;0.708286;0.717971;0.713093;0.685849;0.691789;0.679583
