method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.437384;0.339588;0.354101;0.684851;0.567622;0.62075;0.683464;0.576242;0.595996
LRWithRandomPCA;0.381483;0.311592;0.321848;0.704265;0.552974;0.619517;0.705205;0.558904;0.596233
LRWithPCA;0.44568;0.338838;0.352422;0.698396;0.572015;0.628852;0.693149;0.580627;0.604005
LR;0.446489;0.340234;0.353269;0.690512;0.57126;0.625123;0.684536;0.578475;0.598983
CCABasedClassifier;0.515937;0.347232;0.361223;0.690455;0.578582;0.629522;0.688715;0.586455;0.605182
