method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.168475;0.122734;0.133531;0.445129;0.317432;0.370371;0.459035;0.322201;0.36616
LRWithRandomPCA;0.139641;0.0745278;0.081723;0.549893;0.250721;0.344407;0.567097;0.257502;0.344398
LRWithPCA;0.160334;0.112444;0.123294;0.443381;0.298378;0.356651;0.461615;0.303988;0.353587
LR;0.166474;0.120656;0.131994;0.442367;0.311657;0.365462;0.455909;0.315532;0.360593
CCABasedClassifier;0.159533;0.11572;0.125952;0.432035;0.303271;0.356354;0.450238;0.308624;0.353609
