method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.0531423;0.0114028;0.0173811;0.419176;0.0688261;0.118208;0.16117;0.0684033;0.0903811
LRWithRandomPCA;0.00282463;6.86936e-05;0.000129116;0.4701;0.00141635;0.00282036;0.005;0.00133333;0.00209333
LRWithPCA;0.0534988;0.00824442;0.0133455;0.499984;0.0511657;0.0928246;0.129957;0.05054;0.0690619
LR;0.0566055;0.0121936;0.0185955;0.417985;0.0710962;0.121515;0.166293;0.0708167;0.0934435
