method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.422545;0.192724;0.233294;0.614581;0.286212;0.390491;0.440019;0.325508;0.345648
LRWithRandomPCA;0.0237296;0.0147763;0.0162939;0.987372;0.0916203;0.167672;0.220015;0.112373;0.137138
LRWithPCA;0.419732;0.124317;0.163248;0.810552;0.225798;0.353191;0.418109;0.263064;0.299977
LR;0.451603;0.190367;0.230425;0.607349;0.284405;0.38737;0.42846;0.321858;0.339411
