method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.112454;0.306205;0.141327;0.166911;0.493891;0.249347;0.221993;0.50701;0.278619
LRWithRandomPCA;0.10947;0.0647186;0.0732864;0.723154;0.340985;0.462825;0.558049;0.312535;0.379559
LRWithPCA;0.143073;0.210436;0.158103;0.330042;0.477794;0.390395;0.397284;0.502217;0.412608
LR;0.102329;0.290539;0.130077;0.165333;0.477281;0.245526;0.216371;0.488245;0.273268
CCABasedClassifier;0.109385;0.328463;0.135615;0.160775;0.495713;0.242759;0.213496;0.506919;0.272306
