method;macroPrecision;macroRecall;macroFScore;microPrecision;microRecall;microFScore;instAvgPrecision;instAvgRecall;instAvgFScore
LRWithRandomSvd;0.682036;0.560885;0.614539;0.679607;0.550891;0.608327;0.527421;0.558716;0.531935
LRWithPCA;0.748077;0.552558;0.630449;0.746937;0.538502;0.625812;0.532894;0.549166;0.532119
CCABasedClassifier;0.683998;0.559864;0.613041;0.676223;0.548084;0.6053;0.524783;0.55705;0.529173
LR;0.692291;0.565973;0.621274;0.690149;0.554383;0.614751;0.532475;0.56329;0.536409
LRWithRandomPCA;0.163575;0.285908;0.171673;0.281242;0.305697;0.292508;0.270871;0.301536;0.272183
