k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.0451568;0.0709008;0.0429733;0.0212049;0.0376211
0.3;0.0534344;0.0711115;0.0537443;0.0310509;0.047268
0.4;0.0584767;0.0712892;0.0597064;0.040129;0.0520156
0.5;0.063849;0.072683;0.0634814;0.0506243;0.0579153
0.6;0.0669998;0.0723407;0.0653851;0.058806;0.0608053
0.7;0.0685013;0.0715139;0.0676925;0.0621636;0.0645426
0.8;0.0699602;0.0711362;0.0700269;0.0695339;0.0674053
0.9;0.0718152;0.0701996;0.0726001;0.0704373;0.071769
1;0.0734963;0.0707602;0.0716105;0.0704265;0.0724828
