k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.010333;0.0174888;0.0102599;0.00545179;0.0108869
0.3;0.0124196;0.017651;0.0123866;0.0075089;0.0127538
0.4;0.0140429;0.0174043;0.0139719;0.00972533;0.0141645
0.5;0.0150861;0.0177203;0.0152192;0.0119355;0.0153068
0.6;0.0162663;0.0173045;0.0162696;0.0136808;0.0162602
0.7;0.016578;0.0176147;0.016805;0.0154483;0.0168238
0.8;0.0171398;0.0178085;0.0170919;0.0164959;0.0173073
0.9;0.01771;0.0175502;0.0174533;0.0175139;0.0172717
1;0.017486;0.0176999;0.0174147;0.0177359;0.0175442
