k;CPLST;LRWithPCA;LRWithRandomPCA;OCCA;LR
0.2;0.0529297;0.0480168;0.0238354;0.02921;0.0590379
0.3;0.0559074;0.0544891;0.0303141;0.0352006;0.0590379
0.4;0.0568379;0.0561061;0.047529;0.0402097;0.0590379
0.5;0.0576322;0.0578295;0.0532646;0.0471802;0.0590379
0.6;0.0588008;0.0571541;0.0563071;0.0474121;0.0590379
0.7;0.0585756;0.0563987;0.0565787;0.0484823;0.0590379
0.8;0.0592364;0.0579293;0.0574797;0.0492549;0.0590379
0.9;0.0595616;0.0591716;0.0587128;0.0495708;0.0590379
1;0.059543;0.0582353;0.0599162;0.0600681;0.0590379
