k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.0506064;0.0529233;0.0475467;0.0497639;0.0511163
0.3;0.0532891;0.0531561;0.0483449;0.047968;0.0520254
0.4;0.0533889;0.0535109;0.0497306;0.0471698;0.0524577
0.5;0.0529122;0.0539654;0.0515265;0.0474802;0.0529898
0.6;0.0534;0.0529455;0.0530785;0.0501297;0.0529787
0.7;0.0539765;0.0534776;0.052879;0.0522582;0.052757
0.8;0.0527127;0.0534998;0.0532226;0.053533;0.0536661
0.9;0.0539543;0.053012;0.0531783;0.0537991;0.0529787
1;0.052879;0.052879;0.0535885;0.053012;0.0529898
