k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.0668818;0.0691387;0.0246152;0.0170536;0.0657546
0.3;0.0674905;0.0682;0.0292883;0.020132;0.0649137
0.4;0.0679482;0.0720203;0.0340613;0.023979;0.0662689
0.5;0.067817;0.0673593;0.0390976;0.0279949;0.0670452
0.6;0.0682572;0.0665417;0.043693;0.0337129;0.0680024
0.7;0.0677512;0.0678734;0.0487085;0.0396411;0.0680438
0.8;0.0678288;0.0690676;0.0548867;0.0468587;0.0663738
0.9;0.0662587;0.0678865;0.0595507;0.0565938;0.0676395
1;0.0681936;0.0683776;0.0677994;0.0706924;0.0694971
