k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.0186269;0.0186122;0.0186616;0.0186692;0.0186317
0.3;0.0185918;0.0186421;0.0186583;0.0186706;0.0186535
0.4;0.0185994;0.0185861;0.0186549;0.0186701;0.0186507
0.5;0.0186426;0.0186279;0.0186682;0.0186611;0.0186659
0.6;0.0186369;0.0186502;0.018683;0.018644;0.0186217
0.7;0.0186179;0.0186602;0.0186554;0.0186564;0.0186113
0.8;0.0185709;0.0186208;0.0186559;0.0186578;0.0186416
0.9;0.0186298;0.0186317;0.0186701;0.0186673;0.0186222
1;0.0186583;0.018644;0.0186265;0.0186003;0.0186274
