k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.011354;0.0123274;0.00196296;0.0013183;0.0101545
0.3;0.0119469;0.0123274;0.00247979;0.00153234;0.0105954
0.4;0.0129642;0.0123274;0.00322334;0.0019137;0.0107863
0.5;0.0123355;0.0123274;0.00399193;0.00236119;0.0111638
0.6;0.0136341;0.0123274;0.00496878;0.00295311;0.0113857
0.7;0.0127434;0.0123274;0.00551854;0.00421844;0.0119315
0.8;0.0133966;0.0123274;0.0064301;0.00525309;0.0125597
0.9;0.0130858;0.0123274;0.00789916;0.00692805;0.0127573
1;0.0124296;0.0123274;0.0130271;0.0131787;0.0120563
