k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.012832;0.0124893;0.0132598;0.013606;0.0148911
0.3;0.0127223;0.0125106;0.0130047;0.0134954;0.0148503
0.4;0.0126679;0.0124672;0.012918;0.0132862;0.014482
0.5;0.0125769;0.012457;0.0127674;0.0130898;0.0142762
0.6;0.0126109;0.0124698;0.0126917;0.0129546;0.0141528
0.7;0.0125267;0.012457;0.0125922;0.0127394;0.0140942
0.8;0.012474;0.0124757;0.0125166;0.012605;0.0139606
0.9;0.0124595;0.0124953;0.0124145;0.0124672;0.0136843
1;0.0124264;0.0124706;0.0125157;0.0125463;0.0133219
