k;CPLST;LR;LRWithPCA;LRWithRandomPCA;OCCA
0.2;0.0503418;0.0501799;0.0178715;0.012141;0.0502515
0.3;0.0511277;0.0501799;0.0213172;0.0145673;0.04944
0.4;0.0506807;0.0501799;0.0255765;0.0172637;0.0505057
0.5;0.0515294;0.0501799;0.0292135;0.020615;0.0507057
0.6;0.0514455;0.0501799;0.032958;0.0250666;0.0514367
0.7;0.0511604;0.0501799;0.0372221;0.029907;0.0511817
0.8;0.0509793;0.0501799;0.0420629;0.0353206;0.0497762
0.9;0.0496654;0.0501799;0.0457317;0.0433784;0.0506986
1;0.0515829;0.0501799;0.0509675;0.0528915;0.0527843
